main_sound,level,hanja,meaning,radical,strokes,total_strokes
무,특급,廡,"[[['행랑'], ['무']]]",广,12,15
무,특급,膴,"[[['두터울'], ['무']]]",肉,12,16
무,특급,髳,"[[['다박머리'], ['무']]]",髟,5,15
묵,특급,纆,"[[['노'], ['묵']]]",糸,15,21
문,특급,捫,"[[['어루만질'], ['문']]]",手,8,11
문,특급,炆,"[[['따뜻할'], ['문']]]",火,4,8
문,특급,璊,"[[['붉은옥'], ['문']]]",玉,11,15
문,특급,穈,"[[['붉은기장'], ['문']], [['검은기장'], ['미']]]",禾,11,16
미,특급,麋,"[[['고라니'], ['미']]]",鹿,6,17
미,특급,亹,"[[['힘쓸'], ['미']]]",亠,20,22
미,특급,弭,"[[['활고자'], ['미']]]",弓,6,9
미,특급,敉,"[[['어루만질'], ['미']]]",攴,6,10
미,특급,糜,"[[['죽'], ['미']]]",米,11,17
미,특급,郿,"[[['땅이름'], ['미']]]",邑,9,12
미,특급,瀰,"[[['물가득할'], ['미']]]",水,17,20
민,특급,慜,"[[['총명할'], ['민']]]",心,11,15
민,특급,敃,"[[['힘쓸'], ['민']]]",攴,5,9
민,특급,潣,"[[['물졸졸흐를'], ['민']]]",水,12,15
민,특급,忞,"[[['힘쓸'], ['민']]]",心,4,8
민,특급,痻,"[[['병들'], ['민']]]",疒,8,13
민,특급,暋,"[[['강할', '번민할'], ['민']]]",日,9,13
민,특급,黽,"[[['힘쓸'], ['민']], [['맹꽁이'], ['맹']], [['땅이름'], ['면']]]",黽,0,13
박,특급,亳,"[[['땅이름'], ['박']]]",亠,8,10
박,특급,鎛,"[[['호미'], ['박']]]",金,10,18
