main_sound,level,hanja,meaning,radical,strokes,total_strokes
금,특급Ⅱ,檎,"[[['능금'], ['금']]]",木,13,17
금,특급Ⅱ,芩,"[[['풀이름'], ['금']]]",艸,4,8
금,특급Ⅱ,衿,"[[['옷깃'], ['금']]]",衣,4,9
금,특급Ⅱ,妗,"[[['외숙모'], ['금']]]",女,4,7
급,특급Ⅱ,伋,"[[['생각할'], ['급']]]",人,4,6
기,특급Ⅱ,磯,"[[['여울돌'], ['기']]]",石,12,17
기,특급Ⅱ,埼,"[[['갑'], ['기']]]",土,8,11
기,특급Ⅱ,圻,"[[['경기(京畿)'], ['기']]]",土,4,7
기,특급Ⅱ,碁,"[[['바둑'], ['기']]]",石,8,13
기,특급Ⅱ,夔,"[[['조심할'], ['기']]]",夊,17,20
기,특급Ⅱ,璂,"[[['피변옥'], ['기']]]",玉,11,15
기,특급Ⅱ,祁,"[[['클'], ['기']]]",示,3,8
기,특급Ⅱ,祇,"[[['지신'], ['기']]]",示,4,9
기,특급Ⅱ,祺,"[[['길할'], ['기']]]",示,8,13
기,특급Ⅱ,玘,"[[['패옥'], ['기']]]",玉,3,7
기,특급Ⅱ,錡,"[[['세발가마'], ['기']]]",金,8,16
기,특급Ⅱ,錤,"[[['호미'], ['기']]]",金,8,16
기,특급Ⅱ,耭,"[[['밭갈'], ['기']]]",耒,12,18
기,특급Ⅱ,饑,"[[['주릴'], ['기']]]",食,12,21
길,특급Ⅱ,佶,"[[['바를'], ['길']]]",人,6,8
길,특급Ⅱ,桔,"[[['도라지'], ['길']]]",木,6,10
나,특급Ⅱ,娜,"[[['아리따울'], ['나']]]",女,7,10
남,특급Ⅱ,楠,"[[['녹나무'], ['남']]]",木,9,13
남,특급Ⅱ,枏,"[[['녹나무'], ['남']]]",木,4,8
남,특급Ⅱ,湳,"[[['물이름'], ['남']]]",水,9,12
내,특급Ⅱ,柰,"[[['사과', '어찌'], ['내']]]",木,5,9
년,특급Ⅱ,秊,"[[['해[年]'], ['년']]]",禾,3,8
념,특급Ⅱ,拈,"[[['집을'], ['념']], [['집을'], ['점']]]",手,5,8
념,특급Ⅱ,恬,"[[['편안할'], ['념']]]",心,6,9
념,특급Ⅱ,捻,"[[['비틀'], ['념']]]",手,8,11
녕,특급Ⅱ,寗,"[[['차라리'], ['녕']]]",宀,10,13
녕,특급Ⅱ,獰,"[[['사나울'], ['녕']]]",犬,14,17
노,특급Ⅱ,瑙,"[[['마노'], ['노']]]",玉,9,13
뇨,특급Ⅱ,鬧,"[[['지껄일'], ['뇨']]]",鬥,5,15
눈,특급Ⅱ,嫩,"[[['어릴'], ['눈']]]",女,11,14
